annotation_id,system_id,query_id,explanation_text_excerpt,annotator_1,annotator_2,annotator_3,majority_label,dim_accuracy_mean,dim_completeness_mean,dim_no_post_hoc_mean,dim_source_mean,annotator_1_confidence,annotator_2_confidence,annotator_3_confidence,fleiss_kappa_batch,annotation_date,adjudicated
TI2-0467,S3,S3-Q49802,Explanation excerpt 467 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.681,0.809,0.925,0.844,5,4,4,0.724,2024-10-14,0
TI2-0468,S4,S4-Q40102,Explanation excerpt 468 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.688,0.515,0.875,0.713,4,3,3,0.724,2024-11-17,0
TI2-0469,S1,S1-Q29460,Explanation excerpt 469 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,UNFAITHFUL,PARTIALLY_FAITHFUL,0.732,0.896,0.822,0.624,4,3,5,0.724,2024-11-02,0
TI2-0470,S2,S2-Q34638,Explanation excerpt 470 from AI Code Assistant IDE Plugin.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.883,0.577,0.825,0.783,5,3,4,0.724,2024-12-25,0
TI2-0471,S3,S3-Q37244,Explanation excerpt 471 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.791,0.529,0.706,0.82,3,4,4,0.724,2024-12-22,0
TI2-0472,S4,S4-Q23363,Explanation excerpt 472 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.816,0.723,0.691,0.575,4,5,4,0.724,2024-11-24,0
TI2-0473,S1,S1-Q06614,Explanation excerpt 473 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,UNFAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.641,0.592,0.83,0.672,3,5,4,0.724,2024-10-29,0
TI2-0474,S2,S2-Q04454,Explanation excerpt 474 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.905,0.563,0.736,0.748,4,5,4,0.724,2024-10-31,0
TI2-0475,S3,S3-Q35779,Explanation excerpt 475 from Document Summarization and QA.,PARTIALLY_FAITHFUL,UNFAITHFUL,FAITHFUL,UNFAITHFUL,0.844,0.544,0.791,0.889,4,5,3,0.724,2024-11-03,1
TI2-0476,S4,S4-Q09129,Explanation excerpt 476 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.671,0.827,0.749,0.83,3,4,3,0.724,2024-10-08,0
TI2-0477,S1,S1-Q22666,Explanation excerpt 477 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,UNFAITHFUL,FAITHFUL,0.943,0.88,0.829,0.777,5,5,3,0.724,2024-10-11,0
TI2-0478,S2,S2-Q02334,Explanation excerpt 478 from AI Code Assistant IDE Plugin.,UNFAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.774,0.59,0.755,0.727,5,3,3,0.724,2024-10-30,0
TI2-0479,S3,S3-Q24864,Explanation excerpt 479 from Document Summarization and QA.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.839,0.795,0.816,0.569,3,5,5,0.724,2024-11-18,0
TI2-0480,S4,S4-Q07733,Explanation excerpt 480 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.914,0.893,0.76,0.622,3,3,4,0.724,2024-11-25,0
TI2-0481,S1,S1-Q48987,Explanation excerpt 481 from Customer Support Chatbot.,UNFAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.863,0.823,0.811,0.567,3,3,4,0.724,2024-10-02,0
TI2-0482,S2,S2-Q11836,Explanation excerpt 482 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.699,0.626,0.831,0.879,3,3,4,0.724,2024-11-07,0
TI2-0483,S3,S3-Q16398,Explanation excerpt 483 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.928,0.582,0.862,0.851,5,3,3,0.724,2024-10-29,0
TI2-0484,S4,S4-Q16005,Explanation excerpt 484 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.784,0.607,0.859,0.736,5,4,5,0.724,2024-10-07,0
TI2-0485,S1,S1-Q13341,Explanation excerpt 485 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,UNFAITHFUL,FAITHFUL,0.919,0.837,0.806,0.663,4,4,3,0.724,2024-12-10,0
TI2-0486,S2,S2-Q45767,Explanation excerpt 486 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.754,0.806,0.936,0.558,3,3,3,0.724,2024-10-05,0
TI2-0487,S3,S3-Q39961,Explanation excerpt 487 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.734,0.508,0.765,0.714,3,3,4,0.724,2024-10-29,0
TI2-0488,S4,S4-Q02052,Explanation excerpt 488 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.79,0.639,0.658,0.775,3,5,4,0.724,2024-11-13,0
TI2-0489,S1,S1-Q22345,Explanation excerpt 489 from Customer Support Chatbot.,UNFAITHFUL,UNFAITHFUL,PARTIALLY_FAITHFUL,UNFAITHFUL,0.854,0.749,0.91,0.84,5,3,3,0.724,2024-10-08,0
TI2-0490,S2,S2-Q30377,Explanation excerpt 490 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,FAITHFUL,UNFAITHFUL,UNFAITHFUL,0.748,0.788,0.881,0.646,5,4,5,0.724,2024-11-18,1
TI2-0491,S3,S3-Q17983,Explanation excerpt 491 from Document Summarization and QA.,FAITHFUL,UNFAITHFUL,FAITHFUL,FAITHFUL,0.63,0.6,0.813,0.675,3,4,5,0.724,2024-11-20,0
TI2-0492,S4,S4-Q00809,Explanation excerpt 492 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.644,0.727,0.746,0.648,4,5,5,0.724,2024-10-23,0
TI2-0493,S1,S1-Q41796,Explanation excerpt 493 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.896,0.587,0.668,0.897,3,4,4,0.724,2024-11-05,0
TI2-0494,S2,S2-Q18098,Explanation excerpt 494 from AI Code Assistant IDE Plugin.,UNFAITHFUL,FAITHFUL,UNFAITHFUL,UNFAITHFUL,0.691,0.698,0.718,0.615,4,3,4,0.724,2024-12-19,0
TI2-0495,S3,S3-Q28857,Explanation excerpt 495 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.803,0.517,0.865,0.573,3,5,5,0.724,2024-12-31,0
TI2-0496,S4,S4-Q02932,Explanation excerpt 496 from Medical Triage Assistant.,UNFAITHFUL,UNFAITHFUL,FAITHFUL,UNFAITHFUL,0.81,0.64,0.673,0.714,4,5,5,0.724,2024-12-05,0
TI2-0497,S1,S1-Q42067,Explanation excerpt 497 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.749,0.613,0.657,0.775,5,4,3,0.724,2024-11-16,0
TI2-0498,S2,S2-Q02042,Explanation excerpt 498 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.656,0.518,0.929,0.887,4,4,5,0.724,2024-10-04,0
TI2-0499,S3,S3-Q38109,Explanation excerpt 499 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.849,0.876,0.764,0.766,5,5,5,0.724,2024-12-24,0
TI2-0500,S4,S4-Q37055,Explanation excerpt 500 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,FAITHFUL,UNFAITHFUL,UNFAITHFUL,0.776,0.73,0.814,0.705,3,3,3,0.724,2024-10-16,1
